rank	title	year
1	Андрей Рублев	1966
2	Белое солнце пустыни	1969
3	...А зори здесь тихие	1972
4	Летят журавли	1957
5	Семнадцать мгновений весны	1973
6	Баллада о солдате	1959
7	Шерлок Холмс и доктор Ватсон: Знакомство	1979
8	Зеркало	1974
9	Человек-амфибия	1961
10	Белорусский вокзал	1970
11	Белый Бим Черное ухо	1976
12	Берегись автомобиля	1966
13	Я шагаю по Москве	1963
14	Бриллиантовая рука	1968
15	Бумбараш	1972
16	Веселые ребята	1934
17	Война и мир	1965
18	В бой идут одни «старики»	1973
19	Собачье сердце	1988
20	Весна на Заречной улице	1956
21	Кавказская пленница, или Новые приключения Шурика	1966
22	Джентльмены удачи	1971
23	Калина красная	1973
24	Восхождение	1976
25	Жизнь Клима Самгина	1986
26	Вий	1967
27	Гусарская баллада	1962
28	Честь имею!..	2004
29	Девчата	1961
30	Дерсу Узала	1975
31	Операция «Ы» и другие приключения Шурика	1965
32	Неоконченная пьеса для механического пианино	1976
33	Добро пожаловать, или Посторонним вход воспрещен	1964
34	Доживем до понедельника	1968
35	Место встречи изменить нельзя	1979
36	Чапаев	1934
37	Москва слезам не верит	1979
38	Жестокий романс	1984
39	Живет такой парень	1964
40	Бег	1970
41	Иваново детство	1962
42	Мой друг Иван Лапшин	1984
43	История Аси Клячиной, которая любила, да не вышла замуж	1967
44	Июльский дождь	1966
45	Карнавальная ночь	1956
46	Кин-дза-дза!	1986
47	Курьер	1986
48	Мимино	1977
49	Когда деревья были большими	1961
50	Женя, Женечка и «Катюша»	1967
51	Осенний марафон	1979
52	Дни Турбиных	1976
53	Они сражались за Родину	1975
54	Солярис	1972
55	Сорок первый	1956
56	Судьба человека	1959
57	Тот самый Мюнхгаузен	1979
58	Здравствуйте, я ваша тетя!	1975
59	Проверка на дорогах	1971
60	Начало	1970
61	Небесный тихоход	1945
62	Формула любви	1984
63	Сталкер	1979
64	Безымянная звезда	1978
65	Тихий Дон	1957
66	Сто дней после детства	1975
67	Офицеры	1971
68	Печки-лавочки	1972
69	Покровские ворота	1982
70	Служили два товарища	1968
71	Приключения Электроника	1979
72	Гостья из будущего	1984
73	Пять вечеров	1978
74	Особенности национальной охоты	1995
75	Окно в Париж	1993
76	Кукушка	2002
77	Сибириада	1978
78	Старший сын	1975
79	Михайло Ломоносов	1984
80	Урга: Территория любви	1991
81	Суворов	1940
82	Свой среди чужих, чужой среди своих	1974
83	Холодное лето пятьдесят третьего...	1987
84	Комедия строгого режима	1992
85	Высота	1957
86	Агония	1981
87	Мне двадцать лет	1964
88	Короткие встречи	1967
89	День полнолуния	1998
90	Скорбное бесчувствие	1986
91	У озера	1969
92	Братья Карамазовы	1968
93	Барабаниада	1993
94	Долгие проводы	1971
95	Утомленные солнцем	1994
96	Александр Невский	1938
97	Броненосец «Потемкин»	1925
98	Асса	1987
99	Щит и меч	1968
100	Брат	1997
